uri,type,title,description,spatial
https://id.erfgoed.net/erfgoedobjecten/127073,Erfgoedobject,Hollandstellung,"Duitse verdedigingsstelling uit de Eerste Wereldoorlog, opgetrokken ten zuiden van de Belgisch-Nederlandse grens tussen Knokke en Vrasene.","Assenede, Oosteeklo (Assenede), Vrasene (Beveren), Lapscheure, Moerkerke (Damme), Eeklo (Eeklo), Ertvelde (Evergem), Gent (Gent), Lembeke (Kaprijke), Knokke, Westkapelle (Knokke-Heist), Zaffelare (Lochristi), Eksaarde (Lokeren), Maldegem, Middelburg (Maldegem), Sint-Gillis-Waas (Sint-Gillis-Waas), Sint-Laureins (Sint-Laureins), Sinaai (Sint-Niklaas), Kemzeke, Stekene (Stekene)"
https://id.erfgoed.net/erfgoedobjecten/300500,Erfgoedobject,"Damse Vaart met omgevende polders, Fort van Beieren en kreken van Lapscheure","Deze ankerplaats omvat het typische vlakke landschap van de Zwinpolders, doorsneden door dijken en kanalen, die in vele gevallen geaccentueerd worden door bomenrijen. In dit polderlandschap liggen ook meerdere kreekrestanten. De Stadwallen rond Damme, het Fort van Beieren en enkele andere sites, vormen restanten van gebastioneerde vestingen.","Koolkerke, Sint-Kruis (Brugge), Damme, Hoeke, Lapscheure, Oostkerke (Damme), Westkapelle (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/135177,Erfgoedobject,Omgeving site Ten Doele,Dit landschapselement omvat een graslandkern met een goed bewaarde mottesite gelegen in de polders ten noorden van Damme.,"Hoeke, Oostkerke (Damme)"
https://id.erfgoed.net/erfgoedobjecten/99119,Erfgoedobject,O32 Jessica,"De O32 Jessica was een kustvissersvaartuig dat in 1935 bij Crabeels in Oostende werd gebouwd. Het maakte deel uit van de museumcollectie van Sincfala, maar werd in 2015 gesloopt.",Knokke-Heist (West-Vlaanderen)
https://id.erfgoed.net/erfgoedobjecten/135129,Erfgoedobject,"Het Zwin met Hazegraspolders, Koningsbos, Willem-Leopoldpolder, Oud Fort Isabella en Cantelmolinie","Deze ankerplaats omvat de kustduinen tussen Het Zoute en Cadzand-Bad met het slikken- en schorrengebied van Het Zwin en de aansluitende Zwinbosjes, het Koningsbos, de achterliggende Oude en Nieuwe Hazegraspolder, Willem-Leopoldpolder en de fortificaties van het Oud Fort Isabella en de Cantelmolinie.","Knokke, Westkapelle (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58623,Erfgoedobject,Burgerhuizen Villa Hector en Villa Regina," Albertlaan nrs. 13-15. Z.g. ""Villa Hector"" en ""Villa Regina"", twee eclectische bel-etage burgerhuizen met art-nouveau- en cottage-invloeden, cf. de tegeltableaus met de huisnamen, het imitatievakwerk, de houten balkons en luifels. Naar verluidt gebouwd in 1886. Recent gerenoveerd, vernieuwd schrijnwerk.",Albertlaan 13-15 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58800,Erfgoedobject,"Villa's Papaverhof, Lupinenhof, Putanjahof",Driewoonst; gekoppelde villa in cottagestijl uit het tweede kwart van de  20ste eeuw.,"Albertlaan 41, Felicien Ropspad 2, Henry Stacquetstraat 2 (Knokke-Heist)"
https://id.erfgoed.net/erfgoedobjecten/58801,Erfgoedobject,Villa Golfveld," Albertlaan nr. 58. Villa z.g. ""Golfveld"" in cottagestijl uit het tweede kwart van de 20ste eeuw. Vrijstaande witgeschilderde baksteenbouw op zwarte plint.  Combinatie van loodrecht geplaatst wolf- en zadeldak; hoge schouw. Schijnvoegen in volledig gecementeerde erker en pseudo-vakwerk in overkragend gevelveld.  IJzeren hekken aan poort en inkom. ",Albertlaan 58 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58802,Erfgoedobject,Villa Ever Green,"     Albertlaan nr. 60. Villa z.g. ""Ever Green"" in landelijke stijl uit  het tweede kwart van de 20ste eeuw. Witgeschilderde baksteenbouw met  volhouten gevelvelden. Kleine overhoekse erker in nok. Opengewerkte  schouwen en lantaarntorentje met rondsculptuur (kat) bekroond door  windwijzer.   ",Albertlaan 60 (Knokke-Heist)
https://id.erfgoed.net/erfgoedobjecten/58803,Erfgoedobject,Villa Gudrun / Herwig,"Albertlaan nr. 62-64. Villa z.g. ""Gudrun / Herwig"". Tweewoonst in landelijke stijl van 1928 naar ontwerp van architect E. Devlieger (Oostende); ""Herwig"" is latere uitbreiding loodrecht aangebouwd tegen villa ""Gudrun"". Witgeschilderde en verankerde baksteenbouw op zwarte plint. GEMEENTEARCHIEF KNOKKE-HEIST, Dossier O.W. 1544.",Albertlaan 62-64 (Knokke-Heist)
